Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Article_group1,Food group_level1,Article_group2,Food group_level2,Article_group3,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Population 1 an et +,186,des,Aliments pour bébés,,,,,1.8,0.5,0.8,2.8,mg,0.2,0.1,E,1
Calcium,Population 1 an et +,154,des,Aliments pour bébés,des,Produits alimentaires pour bébés,,,F,F,,,mg,F,F,F,2
Calcium,Population 1 an et +,51,des,Aliments pour bébés,des,Préparation pour nourrissons,,,0.4,0.1,0.2,0.6,mg,0,0,E,2
Calcium,Population 1 an et +,19574,des,Boissons (excluant laits),,,,,58.3,1,56.3,60.3,mg,7.1,0.1,,1
Calcium,Population 1 an et +,3540,des,Boissons (excluant laits),de l',Alcool,,,5.6,0.2,5.1,6.1,mg,0.7,0,,2
Calcium,Population 1 an et +,12127,des,Boissons (excluant laits),du,Café et thé,,,6.5,0.2,6.1,6.9,mg,0.8,0,,2
Calcium,Population 1 an et +,103,des,Boissons (excluant laits),des,Boissons Énergisantes,,,0.1,0,0.1,0.1,mg,0,0,,2
Calcium,Population 1 an et +,2096,des,Boissons (excluant laits),des,Boissons aux fruits,,,2.2,0.2,1.8,2.6,mg,0.3,0,,2
Calcium,Population 1 an et +,6617,des,Boissons (excluant laits),des,Jus de fruit,,,13.2,0.7,11.9,14.6,mg,1.6,0.1,,2
Calcium,Population 1 an et +,541,des,Boissons (excluant laits),des,Autres boissons,,,1.3,0.2,0.9,1.7,mg,0.2,0,,2
Calcium,Population 1 an et +,4394,des,Boissons (excluant laits),des,Boissons gazeuses,,,2.8,0.1,2.6,3,mg,0.3,0,,2
Calcium,Population 1 an et +,320,des,Boissons (excluant laits),des,Boissons pour sportifs,,,0.1,0,0,0.1,mg,0,0,,2
Calcium,Population 1 an et +,454,des,Boissons (excluant laits),des,Jus de tomates et de légumes,,,0.8,0.1,0.6,1,mg,0.1,0,,2
Calcium,Population 1 an et +,82,des,Boissons (excluant laits),de l',Eau vitaminée,,,0.1,0,0,0.1,mg,0,0,,2
Calcium,Population 1 an et +,18272,des,Boissons (excluant laits),de l',Eau,,,25.5,0.7,24.2,26.8,mg,3.1,0.1,,2
Calcium,Population 1 an et +,9217,des,Boissons (excluant laits),du,Café et thé,du,Café,5.7,0.2,5.3,6,mg,0.7,0,,3
Calcium,Population 1 an et +,5357,des,Boissons (excluant laits),du,Café et thé,du,Thé,0.8,0.1,0.7,1,mg,0.1,0,,3
Calcium,Population 1 an et +,18629,des,Produits laitiers et Boissons à base de plantes,,,,,453.2,6.6,440.3,466.1,mg,55.5,0.4,,1
Calcium,Population 1 an et +,11627,des,Produits laitiers et Boissons à base de plantes,des,Fromages,,,172.7,4.2,164.6,180.9,mg,21.1,0.4,,2
Calcium,Population 1 an et +,17005,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,,,246.3,4.1,238.2,254.3,mg,30.2,0.4,,2
Calcium,Population 1 an et +,4392,des,Produits laitiers et Boissons à base de plantes,des,Yogourts,,,34.2,1.3,31.6,36.8,mg,4.2,0.2,,2
Calcium,Population 1 an et +,12441,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait 2%,115.9,2.6,110.8,121.1,mg,14.2,0.3,,3
Calcium,Population 1 an et +,6481,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait 1%,54.8,2.1,50.7,58.9,mg,6.7,0.2,,3
Calcium,Population 1 an et +,5835,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait entier,34.2,2.1,30.1,38.2,mg,4.2,0.2,,3
Calcium,Population 1 an et +,6026,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait écrémé,19.5,1.1,17.4,21.6,mg,2.4,0.1,,3
Calcium,Population 1 an et +,814,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,des,Boissons à base de plantes,11.8,1,9.9,13.8,mg,1.4,0.1,,3
