Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Food group_level1,Food group_level2,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Population 1 an et +,18914,Fruits et légumes,,,66.403436,1.1,64.3,68.5,mg,8.130233255,0.1,,1
Calcium,Population 1 an et +,13689,Fruits et légumes,Fruits,,18.6326807,0.4,17.8,19.5,mg,2.281328336,0.1,,2
Calcium,Population 1 an et +,5026,Fruits et légumes,Fruits,Pomme,2.3884029,0.1,2.2,2.5,mg,0.292428739,0,,3
Calcium,Population 1 an et +,5308,Fruits et légumes,Fruits,Banane,1.4582615,0,1.4,1.5,mg,0.178545074,0,,3
Calcium,Population 1 an et +,4326,Fruits et légumes,Fruits,Baies,1.9841893,0.1,1.8,2.1,mg,0.24293806,0,,3
Calcium,Population 1 an et +,513,Fruits et légumes,Fruits,Cerises,0.2639445,0,0.2,0.3,mg,0.03231655,0,,3
Calcium,Population 1 an et +,3372,Fruits et légumes,Fruits,Agrumes,6.7354857,0.3,6.2,7.3,mg,0.824672238,0,,3
Calcium,Population 1 an et +,2881,Fruits et légumes,Fruits,Raisins et raisins secs,1.1663018,0.1,1,1.3,mg,0.14279842,0,,3
Calcium,Population 1 an et +,982,Fruits et légumes,Fruits,Melons,0.9461612,0.1,0.8,1.1,mg,0.115845072,0,,3
Calcium,Population 1 an et +,2103,Fruits et légumes,Fruits,Autres fruits,2.2979642,0.2,1.8,2.8,mg,0.281355696,0,,3
Calcium,Population 1 an et +,666,Fruits et légumes,Fruits,Pêches et nectarines,0.290611,0,0.2,0.3,mg,0.035581524,0,,3
Calcium,Population 1 an et +,722,Fruits et légumes,Fruits,Poires,0.5253747,0,0.4,0.6,mg,0.064325268,0,,3
Calcium,Population 1 an et +,847,Fruits et légumes,Fruits,Ananas,0.4310808,0,0.3,0.5,mg,0.052780209,0,,3
Calcium,Population 1 an et +,315,Fruits et légumes,Fruits,Prunes et pruneaux,0.1449031,0,0.1,0.2,mg,0.017741486,0,,3
Calcium,Population 1 an et +,17977,Fruits et légumes,Légumes incluant pommes de terre,,47.7707553,0.9,46.1,49.5,mg,5.848904919,0.1,,2
Calcium,Population 1 an et +,9274,Fruits et légumes,Légumes incluant pommes de terre,Légumes vert foncé,16.784379,0.6,15.5,18,mg,2.055027938,0.1,,3
Calcium,Population 1 an et +,6318,Fruits et légumes,Légumes incluant pommes de terre,Légumes jaune foncé ou orange,4.5638349,0.2,4.2,4.9,mg,0.558781965,0,,3
Calcium,Population 1 an et +,15195,Fruits et légumes,Légumes incluant pommes de terre,Autres légumes,20.6791142,0.4,19.9,21.4,mg,2.531887386,0,,3
Calcium,Population 1 an et +,8457,Fruits et légumes,Légumes incluant pommes de terre,Légumes féculents,5.7434272,0.2,5.4,6.1,mg,0.70320763,0,,3
Calcium,Population 1 an et +,19327,Produits céréaliers,,,102.8914273,1.2,100.6,105.2,mg,12.5977111,0.1,,1
Calcium,Population 1 an et +,16168,Produits céréaliers,Pains,,69.5736477,1.1,67.5,71.7,mg,8.518384253,0.1,,2
Calcium,Population 1 an et +,2918,Produits céréaliers,Pains,Craquelins et biscottes,2.2297851,0.1,2,2.5,mg,0.273008052,0,,3
Calcium,Population 1 an et +,6257,Produits céréaliers,Pains,Autres produits panifiés,16.8129346,0.6,15.6,18.1,mg,2.058524204,0.1,,3
Calcium,Population 1 an et +,8159,Produits céréaliers,Pains,Pains et petits pains blancs,31.2103856,0.7,29.7,32.7,mg,3.821303985,0.1,,3
Calcium,Population 1 an et +,5962,Produits céréaliers,Pains,Pains et petits pains à grains entiers et blé entier,19.3205424,0.6,18.2,20.4,mg,2.365548012,0.1,,3
Calcium,Population 1 an et +,6966,Produits céréaliers,Céréales pour déjeuner,,15.4528223,0.5,14.4,16.5,mg,1.891996219,0.1,,2
Calcium,Population 1 an et +,2573,Produits céréaliers,Céréales pour déjeuner,Céréales pour déjeuner (autre),5.0315522,0.3,4.4,5.6,mg,0.616047835,0,,3
Calcium,Population 1 an et +,4760,Produits céréaliers,Céréales pour déjeuner,Céréales pour déjeuner à grains entiers - à l'avoine et à haute teneur en fibres,10.4212701,0.5,9.5,11.3,mg,1.275948384,0.1,,3
Calcium,Population 1 an et +,5437,Produits céréaliers,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,,5.2112693,0.2,4.8,5.7,mg,0.638051848,0,,2
Calcium,Population 1 an et +,106,Produits céréaliers,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,Biscuits à la poudre à pâte,0.4851941,0.1,0.2,0.7,mg,0.059405682,0,E,3
Calcium,Population 1 an et +,161,Produits céréaliers,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,Gâteaux,0.1107482,0,0.1,0.2,mg,0.013559667,0,E,3
Calcium,Population 1 an et +,3755,Produits céréaliers,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,Biscuits,1.7736797,0.1,1.6,1.9,mg,0.217163904,0,,3
Calcium,Population 1 an et +,130,Produits céréaliers,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,Brioches - beignes et autres pâtisseries,0.0783159,0,0,0.1,mg,0.009588762,0,E,3
Calcium,Population 1 an et +,1777,Produits céréaliers,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,Barres granola,2.7573904,0.2,2.4,3.1,mg,0.337606437,0,,3
Calcium,Population 1 an et +,5,Produits céréaliers,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,Muffins et pains éclairs,0.005941,0,0,0,mg,0.000727397,0,<10,3
Calcium,Population 1 an et +,14820,Produits céréaliers,Pâtes alimentaires - riz - grains céréaliers et farines,,12.6536879,0.3,12.1,13.3,mg,1.549278782,0,,2
Calcium,Population 1 an et +,11102,Produits céréaliers,Pâtes alimentaires - riz - grains céréaliers et farines,Grains céréaliers et farines,3.8523308,0.1,3.7,4.1,mg,0.471667574,0,,3
Calcium,Population 1 an et +,4543,Produits céréaliers,Pâtes alimentaires - riz - grains céréaliers et farines,Pâtes alimentaires,4.684159,0.3,4.2,5.2,mg,0.573514074,0,,3
Calcium,Population 1 an et +,4598,Produits céréaliers,Pâtes alimentaires - riz - grains céréaliers et farines,Riz,4.1171982,0.2,3.8,4.4,mg,0.504097134,0,,3
Calcium,Population 1 an et +,16680,Viandes et volailles,,,16.8193192,0.3,16.2,17.4,mg,2.059305907,0,,1
