Food Group Name_Level 1,Food Group Name_Level 2,Food Group Name_Level 3,Description of the Contents of the Food Groups and Sub-groups
,,Légumes jaune foncé ou orange,"Légumes jaune foncé ou orange frais, en conserve et congelés (p. ex. carottes, courges d’hiver, poivrons rouges). Ne comprends pas les patates douces (voir Légumes féculents)."
,,Légumes féculents,"Légumes féculents frais, en conserve et congelés (p. ex. pomme de terre blanche, maïs, patate douce), y compris les pommes de terre frites et les pommes de terre rissolées"
,,Autres légumes,"Tous les autres légumes frais, en conserve et congelés (p. ex. céleri, tomate, chou-fleur, champignon, oignon, piment fort). Ne comprends pas les jus de légumes (voir Jus de tomates et de légumes), les légumes marinés, l’ail et les herbes (voir Épices, assaisonnements et autres ingrédients) et les légumineuses (voir Légumineuses)."
,Légumes incluant pommes de terre  (sodium uniquement),,"Légumes frais, en conserve, congelés et marinés"
,,Légumes en conserve,"Légumes en conserve, y compris la sauce tomate"
,,Légumes frais et surgelés,"Légumes frais et congelés, cuits ou crus"
,,Pommes de terre frites et mélanges de pommes de terre,"Comprends les pommes de terre frites, les pommes de terre rissolées et les mélanges de pommes de terre déshydratées"
,,Légumes marinés,"Cornichons, olives et autres légumes marinés"
Produits céréaliers,,,"Pains et petits pains, craquelins, céréales pour le déjeuner, gâteaux, biscuits et autres pâtisseries, farine, pâtes, riz et autres grains"
,Pains,,"Pains, petits pains, craquelins et autres produits de boulangerie comme les bagels, les tortillas et les crêpes"
,,Craquelins et biscottes,"Tous les types de craquelin, biscottes et gressins"
,,Pains et petits pains blancs,"Pains et petits pains blancs, y compris les pains italiens, au levain et à l’ail"
,,Pains et petits pains à grains entiers et blé entier,"Pains et petits pains de blé entier, de grains entiers et multigrains, et d’autres types de pain comme le pain de seigle, de seigle noir et à l’épeautre"
,,Autres produits panifiés,"Comprends les bagels, les tortillas, les pitas, les muffins anglais, les gaufres, les crêpes, le pain doré, les croissants et les préparations sèches (gâteau, biscuit, muffin, croûte de tarte, pain, farce). Dans le cadre de l'enquête, la plupart des muffins, des crêpes et des gaufres sont codés comme des recettes."
,Céréales pour déjeuner,,Céréales chaudes et prêtes-à-manger. Ne comprends pas les céréales pour nourrissons (voir Produits alimentaires pour bébés).
,,Céréales pour déjeuner à grains entiers - à l'avoine et à haute teneur en fibres,"Céréales prêtes-à-manger et chaudes de grains entiers, d’avoines et à haute teneur en fibres. Ne comprends pas les céréales pour nourrissons (voir Produits alimentaires pour bébés)."
,,Céréales pour déjeuner (autre),Toutes les autres céréales prêtes-à-manger et chaudes. Ne comprends pas les céréales pour nourrissons (voir Produits alimentaires pour bébés).
,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,,"Biscuits, gâteaux, biscuits à la poudre à pâte, tartes, barres granola et autres pâtisseries"
,,Biscuits à la poudre à pâte,"Biscuits à la poudre nature ou au babeurre. Dans le cadre de l’enquête, la plupart des biscuits sont codés comme des recettes."
,,Gâteaux,"Brownie et mélanges à gâteau. Dans le cadre de l’enquête, les gâteaux sont codés comme des recettes."
,,Biscuits,"Tous les types de biscuits (y compris l’arrow-root), barres déjeuner. Dans le cadre de l’enquête, certains biscuits sont codés comme des recettes s’ils sont faits maison."
,,Brioches - beignes et autres pâtisseries,"Beignes, brioches, danoises et autres pâtisseries à la pâte feuilletée. Dans le cadre de l’enquête, la plupart de ces aliments sont codés comme des recettes."
,,Barres granola,"Tous les types de barres granola et de barres céréalières (tendres, croquantes, enrobées)"
